iter	Passed	Remaining
0	203	101308
1	408	101661
2	465	77146
3	507	62920
4	559	55423
5	618	50920
6	657	46324
7	697	42921
8	730	39837
9	905	44387
10	1057	47002
11	1249	50821
12	1380	51719
13	1518	52725
14	1645	53200
15	1770	53567
16	1977	56183
17	2132	57100
18	2195	55571
19	2240	53783
20	2282	52073
21	2320	50424
22	2363	49024
23	2408	47760
24	2447	46496
25	2490	45404
26	2526	44264
27	2554	43054
28	2593	42115
29	2629	41198
30	2670	40399
31	2706	39577
32	2736	38718
33	2772	37993
34	2811	37351
35	2844	36656
36	2872	35948
37	2912	35405
38	2962	35017
39	3005	34567
40	3037	34007
41	3079	33576
42	3118	33144
43	3161	32763
44	3202	32381
45	3245	32030
46	3292	31729
47	3322	31288
48	3360	30929
49	3394	30553
50	3432	30223
51	3470	29901
52	3501	29529
53	3583	29594
54	3637	29433
55	3696	29309
56	3732	29008
57	3772	28749
58	3807	28461
59	3854	28264
60	3906	28114
61	3946	27878
62	3985	27646
63	4019	27385
64	4067	27221
65	4102	26976
66	4140	26757
67	4176	26533
68	4209	26295
69	4246	26084
70	4283	25879
71	4318	25668
72	4350	25449
73	4382	25229
74	4425	25076
75	4459	24879
76	4497	24708
77	4540	24562
78	4587	24447
79	4616	24234
80	4653	24074
81	4714	24034
82	4753	23880
83	4789	23719
84	4973	24282
85	5069	24406
86	5168	24534
87	5272	24687
88	5365	24778
89	5472	24930
90	5601	25176
91	5760	25548
92	5861	25652
93	6010	25962
94	6168	26295
95	6309	26553
96	6474	26899
97	6631	27202
98	6744	27319
99	6828	27314
100	7003	27667
101	7227	28201
102	7265	28003
103	7303	27810
104	7336	27598
105	7378	27424
106	7417	27242
107	7449	27039
108	7479	26829
109	7513	26639
110	7662	26853
111	7801	27027
112	7952	27237
113	8072	27333
114	8124	27199
115	8175	27063
116	8210	26875
117	8251	26713
118	8283	26519
119	8338	26406
120	8383	26259
121	8426	26107
122	8479	25989
123	8524	25849
124	8558	25676
125	8604	25540
126	8660	25437
127	8700	25285
128	8739	25134
129	8778	24984
130	8814	24827
131	8851	24676
132	8914	24599
133	8949	24443
134	9002	24340
135	9040	24197
136	9076	24049
137	9111	23901
138	9149	23762
139	9186	23622
140	9216	23466
141	9254	23332
142	9291	23196
143	9344	23101
144	9381	22969
145	9433	22872
146	9478	22761
147	9519	22641
148	9560	22522
149	9603	22407
150	9641	22284
151	9679	22160
152	9714	22033
153	9757	21922
154	9784	21778
155	9821	21658
156	9864	21551
157	9903	21436
158	9943	21326
159	9980	21209
160	10020	21098
161	10055	20979
162	10095	20872
